vocabulary,meaning
consultant,ที่ปรึกษา
discretion,ดุลพินิจ
ostensibly,อย่างเห็นได้ชัด
inexorable,ที่ไม่สามารถยอมรับได้
sacrilege,ล่วงเกินสิ่งศักสิทธิ์
crucible,เบ้าหลอม
Acting grand master,รักษาการนายใหญ่
anguish,ความปวดร้าว
fester,เน่าเปื่อย
resurgence,การฟืนคืน
interference,การรบกวน
repose,พักผ่อน
initiative,ริเริ่ม
escalate,บานปลาย
aerial,ทางอากาศ
debate,โต้วาที
nominate,เสนอชื่อ
mainstream,กระแสหลัก
sarcastic,พูดเสียดสี
slander,การพูดให้ร้าย
loathe,เกลียด
bourgeois,ชนชั้นกลาง
smattering,ความรู้แค่นิดเดียว
tinker,ซ่อมแบบไม่ชำนาญ
desultory,ไม่มีจุดหมาย
intricately,ประณีต
skewer,เสียบ
vandalize,ทำลายทรัพย์สิน
legacy,มรดก
disgraceful,รับไม่ได้อย่างมาก
egregious,ร้ายแรง
reprimanding,การตำหนิ
rebuke,ตำหนิ
rabble,ฝูงชน
simpleton,คนโง่
lest,เพื่อไม่ให้
audacity,"ความกล้า,ความมุทะลุ,หยาบคาย"
innocuous,ไม่มีพิษภัย
eavesdropping,การดักฟัง
cronies,คนสนิท
ambiance,บรรยากาศ
emissary,ทูต
concrete,รูปธรรม
courtesy,มารยาท
orchard,สวนผลไม้
vigilant,ตื่นตัว
bustling,คึกคัก
anguish,ความปวดร้าว
foremost,"สำคัญ,แรก"
behalf,นาม
on behalf,ในนาม
ruckus,ความปั่นป่วน
commotion,ความปั่นป่วน
resurgence,การฟื้นคืน
akin,คล้ายๆ
yarn,เส้นด้าย
slug,คนขี้เกียจ
atrocity,ความโหดร้าย
adversary,ศัตรู
phenomenon,ปรากฏการณ์
adolescent,วัยรุ่น
proposition,โจทย์
integrity,ความซื่อสัตย์
steadfast,"แน่วแน่,มั่นคง"
curios,ของโบราณ
tamper,งัดแงะ
succulent,ฉ่ำ
wrapped,ถูกห่อ
crispy,กรอบ
abalone,หอยเป๋าฮื้อ
roe,ไข่ปลา
rattle,"สั่น,ทำให้กระวนกระวาย"
mundane,"น่าเบื่อ,lacking interest"
astrologist,นักโหราศาสตร์
banal,ดาษดื่น
hamper,ขัดขวาง
gratifying,ทำให้พอใจ
well-versed,รอบรู้
cinch,ของง่ายๆ
arduous,ลำบาก
wondrous,มหัศจรรย์
cease,"ยุติ,หยุด"
pretension,ข้ออ้าง
forsaken,ที่ถูกทอดทิ้ง
vulnerable,อ่อนแอ
quibble,เล่นลิ้น
corroborate,ยืนยัน
fret,ทำให้กังวล
garner,รวบรวม
gist,สาระสำคัญ
hag,แม่มด
crone,ยายแก่
nigh,เกือบ
utmost,สูงสุด
devout,ศรัทธา
procure,จัดหา
thronged,มุง crowded
obnoxious,น่ารังเกียจ
predicament,สถานการณ์อันย่ำแย่
vantage,จุดที่มีวิวดี
hurl,เหวี่ยง
dross,ขยะ
sanctimonious,ศักดิ์สิทธิ์
bear bore borne,ทน
promulgating,ประกาศใช้
decree,บัญชา
usurped,แย่งชิง
turmoil,ความวุ่นวาย
